design,method,method_label,wrong_order,rho,seed,ate_error,cf_rmse,cf_inconsistency,source
design_i,seqot,Seq-OT (wrong order),True,0.5,5,0.43513233609920293,0.668602547144003,0.006223574923581348,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,6,0.5198344518740884,0.7542353291809665,0.006420520127981802,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,7,0.4002672230469813,0.5922773490291781,0.006663651409060867,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,8,0.45113240469420246,0.6682515033851346,0.006132201346187813,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,9,0.41405148572021794,0.6354452514791361,0.007137576696828137,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,10,0.40414890496777217,0.6169778945448208,0.00630163675824434,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,11,0.4681995026421106,0.7204420676587738,0.00535394356742092,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,12,0.48673739077884226,0.730677738155802,0.006061132236900144,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,13,0.3729553878423841,0.6018870137496367,0.007108887679075909,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,14,0.5134378047750204,0.7482002375454478,0.00582186086646096,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,15,0.373652893354613,0.6366142529497911,0.007403722993793326,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,16,0.5358422108023018,0.7847159767956975,0.00689344189272026,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,17,0.45896152678526847,0.6650039666429358,0.006116208700565611,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,18,0.4674976928225556,0.6838124280785757,0.005548233230223809,seqot_results_chain.pt
design_i,seqot,Seq-OT (wrong order),True,0.5,19,0.4347078659175699,0.6821826616223169,0.005183283986362847,seqot_results_chain.pt
